АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
800;1222222;1222222;1;ООО "ТЕЛЕДАЙН СИСТЕМС ЛИМИТЕД";Амурская обл.;Амурская область;2801037655
800;1223344;1223344;1;ООО "ТЕЛЕДАЙН СИСТЕМС ЛИМИТЕД";Амурская обл.;Амурская область;2801037655
800;1234560;1234569;10;АО "МТТ";г. Москва;Город Москва;7705017253
800;1250000;1250999;1000;ООО "ТЕЛЕКОМ ТЗ";г. Москва и Московская область;Город Москва, Московская область;7710383375
800;1300000;1300000;1;ООО "ИНТЕРКАМСЕРВИС";Камчатский край;Камчатский край;4100005553
800;1300111;1300111;1;ООО "ИНТЕРКАМСЕРВИС";Камчатский край;Камчатский край;4100005553
800;1333333;1333333;1;ООО "ИНТЕРНОД";Московская область * Москва|Московская область * Москва;Московская область, Город Москва;7733808377
800;1410000;1410000;1;ООО "ИНТЕРКАМСЕРВИС";Камчатский край;Камчатский край;4100005553
800;1419494;1419494;1;ООО "ИНТЕРКАМСЕРВИС";Камчатский край;Камчатский край;4100005553
800;1454455;1454455;1;ПАО "Ростелеком";Российская Федерация, кроме Чеченской Республики;Республика Адыгея, Республика Башкортостан, Республика Бурятия, Республика Алтай, Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Республика Калмыкия, Карачаево-Черкесская Республика, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Удмуртская Республика, Республика Хакасия, Чувашская Республика - Чувашия, Алтайский край, Краснодарский край, Приморский край, Ставропольский край, Амурская область, Архангельская область, Астраханская область, Хабаровский край, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Ивановская область, Иркутская область, Калининградская область, Калужская область, Кемеровская область - Кузбасс, Кировская область, Костромская область, Курганская область, Курская область, Ленинградская область, Липецкая область, Московская область, Магаданская область, Мурманская область, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Псковская область, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Ульяновская область, Челябинская область, Забайкальский край, Ярославская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Красноярский край, Республика Крым, Ямало-Ненецкий автономный округ, Пермский край, Камчатский край, Ненецкий автономный округ, Ханты-Мансийский автономный округ - Югра, Город Байконур, Город Севастополь, Запорожская область, Донецкая Народная Республика, Луганская Народная Республика, Херсонская область;7707049388
800;1550000;1550000;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1550155;1550155;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1550800;1550800;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1551111;1551111;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1552222;1552222;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1553333;1553333;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1555555;1555555;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1556666;1556666;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1558000;1558000;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1558888;1558888;1;ПАО "Ростелеком";Дальневосточный федеральный округ;Республика Бурятия, Республика Саха (Якутия), Забайкальский край, Камчатский край, Приморский край, Хабаровский край, Амурская область, Магаданская область, Сахалинская область, Еврейская автономная область, Чукотский автономный округ;7707049388
800;1777777;1777777;1;ООО "ЮнитТелеком";г. Москва * Московская область;Город Москва, Московская область;7722553712
800;1811800;1811899;100;ПАО "Ростелеком";Российская Федерация, кроме Чукотского автономного округа;Республика Адыгея, Республика Башкортостан, Республика Бурятия, Республика Алтай, Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Республика Калмыкия, Карачаево-Черкесская Республика, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Удмуртская Республика, Республика Хакасия, Чеченская Республика, Чувашская Республика - Чувашия, Алтайский край, Краснодарский край, Приморский край, Ставропольский край, Амурская область, Архангельская область, Астраханская область, Хабаровский край, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Ивановская область, Иркутская область, Калининградская область, Калужская область, Кемеровская область - Кузбасс, Кировская область, Костромская область, Курганская область, Курская область, Ленинградская область, Липецкая область, Московская область, Магаданская область, Мурманская область, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Псковская область, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Ульяновская область, Челябинская область, Забайкальский край, Ярославская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Красноярский край, Республика Крым, Ямало-Ненецкий автономный округ, Пермский край, Камчатский край, Ненецкий автономный округ, Город Севастополь, Ханты-Мансийский автономный округ - Югра, Запорожская область, Донецкая Народная Республика, Луганская Народная Республика, Херсонская область;7707049388
800;1999999;1999999;1;АО "ЭЛЕКТРОСВЯЗЬ" В ЧР;Республика Чеченская;Чеченская Республика;2014016741
800;2000000;2009999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2010000;2019999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2020000;2029999;10000;АО "АУДИОТЕЛЕ";Российская Федерация;Российская Федерация;7731251901
800;2200000;2200009;10;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200022;2200022;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200100;2200100;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200111;2200111;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200123;2200123;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200200;2200200;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200220;2200220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200222;2200222;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200300;2200300;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200333;2200333;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200400;2200400;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200444;2200444;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200500;2200500;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200555;2200555;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200600;2200600;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200666;2200666;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200700;2200700;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200777;2200777;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200800;2200800;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200888;2200888;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200900;2200900;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2200999;2200999;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201000;2201000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201111;2201111;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201200;2201200;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201220;2201220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201234;2201234;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2201520;2201520;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202000;2202000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202002;2202002;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202014;2202014;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202020;2202020;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202200;2202209;10;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202220;2202220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2202222;2202222;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2203000;2203000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2203220;2203220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2203333;2203333;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2204000;2204000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2204220;2204220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2204444;2204444;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2205000;2205000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2205220;2205220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2205555;2205555;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2206000;2206000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2206220;2206220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2206666;2206666;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2207000;2207000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2207220;2207220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2207777;2207777;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2208000;2208000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2208220;2208220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2208800;2208800;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2208880;2208880;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2208888;2208888;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2209000;2209000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2209220;2209220;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2209999;2209999;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2220000;2229999;10000;ПАО "МегаФон";Российская Федерация;Российская Федерация;7812014560
800;2233333;2233333;1;ООО "ЮнитТелеком";Российская Федерация;Российская Федерация;7722553712
800;2233777;2233777;1;ООО "ЮнитТелеком";Российская Федерация;Российская Федерация;7722553712
800;2235555;2235555;1;ООО "ЮнитТелеком";Российская Федерация;Российская Федерация;7722553712
800;2236016;2236016;1;ООО "ЮнитТелеком";Российская Федерация;Российская Федерация;7722553712
800;2239090;2239090;1;ООО "ЮНИТТЕЛ";Российская Федерация;Российская Федерация;7722553712
800;2242222;2242222;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2320023;2320023;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;2330000;2339999;10000;АО "АУДИОТЕЛЕ";Российская Федерация;Российская Федерация;7731251901
800;2340000;2349999;10000;ПАО "МТС";Российская Федерация;Российская Федерация;7740000076
800;2400000;2400049;50;ООО "МОБИФОН-2000";Российская Федерация;Российская Федерация;6659121015
800;2500000;2509999;10000;ПАО "МТС";Российская Федерация;Российская Федерация;7740000076
800;2550000;2559999;10000;АО "АУДИОТЕЛЕ";Российская Федерация;Российская Федерация;7731251901
800;2580606;2580606;1;ПАО "Вымпел-Коммуникации";Российская Федерация;Российская Федерация;7713076301
800;2584408;2584408;1;ПАО "Вымпел-Коммуникации";Российская Федерация;Российская Федерация;7713076301
800;2585885;2585885;1;ПАО "Вымпел-Коммуникации";Российская Федерация;Российская Федерация;7713076301
800;2586878;2586878;1;ПАО "Вымпел-Коммуникации";Российская Федерация;Российская Федерация;7713076301
800;2587777;2587777;1;ПАО "Вымпел-Коммуникации";Российская Федерация;Российская Федерация;7713076301
800;2666665;2666667;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";Российская Федерация;Российская Федерация;7709219099
800;2752020;2752020;1;АО "МТТ";Российская Федерация;Российская Федерация;7705017253
800;2777776;2777778;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";Российская Федерация;Российская Федерация;7709219099
800;2800000;2800000;1;ООО "ЮНИТТЕЛ";Российская Федерация;Российская Федерация;7722553712
800;2800028;2800028;1;ООО "ЮНИТТЕЛ";Российская Федерация;Российская Федерация;7722553712
800;2807988;2807988;1;ООО "ЮНИТТЕЛ";Российская Федерация;Российская Федерация;7722553712
800;2808888;2808888;1;ООО "ЮНИТТЕЛ";Российская Федерация;Российская Федерация;7722553712
800;2880000;2880000;1;ООО "МСН ТЕЛЕКОМ";Российская Федерация;Российская Федерация;7727752084
800;2888888;2888888;1;ООО "МСН ТЕЛЕКОМ";Российская Федерация;Российская Федерация;7727752084
800;2889999;2889999;1;ООО "МСН ТЕЛЕКОМ";Российская Федерация;Российская Федерация;7727752084
800;3000000;3009999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3010000;3019999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3020000;3029999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030000;3030000;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030003;3030003;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030111;3030111;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030123;3030123;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030222;3030222;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030300;3030300;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030303;3030303;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030333;3030333;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030444;3030444;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030555;3030555;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030666;3030666;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030777;3030777;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030800;3030800;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030888;3030888;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;3030999;3030999;1;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
